Time, Room, Distance, Subject Coord, Item Coord, Item, Pupil Size(left right)
3/22/2024 11:29:22 AM,Room_121, 2.969397, (100.0  1.7  -8.0), (98.5  0.1  -6.0), Main_floor, 3.610733  3.45546
3/22/2024 11:29:22 AM,Room_121, 2.928812, (100.0  1.7  -8.0), (98.5  0.1  -6.1), Main_floor, 3.509766  3.544388
3/22/2024 11:29:22 AM,Room_121, 2.897501, (100.0  1.7  -8.0), (98.5  0.1  -6.1), Main_floor, 3.613953  3.542221
3/22/2024 11:29:22 AM,Room_121, 2.856523, (100.0  1.7  -8.0), (98.5  0.1  -6.2), Main_floor, 3.575134  3.515228
3/22/2024 11:29:22 AM,Room_121, 2.861042, (100.0  1.7  -8.0), (98.5  0.1  -6.2), Main_floor, 3.711411  3.583099
3/22/2024 11:29:22 AM,Room_121, 2.84754, (100.0  1.7  -8.0), (98.5  0.1  -6.2), Main_floor, 3.68869  3.572281
3/22/2024 11:29:22 AM,Room_121, 2.847584, (100.0  1.7  -8.0), (98.5  0.1  -6.2), Main_floor, 3.677811  3.547394
3/22/2024 11:29:22 AM,Room_121, 2.841706, (100.0  1.7  -8.0), (98.5  0.1  -6.2), Main_floor, 3.651093  3.604568
3/22/2024 11:29:22 AM,Room_121, 2.866246, (100.0  1.7  -8.0), (98.5  0.1  -6.2), Main_floor, 3.653214  3.548141
3/22/2024 11:29:22 AM,Room_121, 2.822016, (100.0  1.7  -8.0), (98.6  0.1  -6.2), Main_floor, 3.671356  3.600174
3/22/2024 11:29:22 AM,Room_121, 2.800481, (100.0  1.7  -8.0), (98.6  0.1  -6.2), Main_floor, 3.642899  3.593323
3/22/2024 11:29:22 AM,Room_121, 2.909144, (100.0  1.7  -8.0), (98.4  0.1  -6.2), Main_floor, 3.745178  3.600693
3/22/2024 11:29:22 AM,Room_121, 3.109092, (100.0  1.7  -8.0), (98.0  0.1  -6.3), Main_floor, 3.703873  3.590012
3/22/2024 11:29:22 AM,Room_121, 3.096243, (100.0  1.7  -8.0), (98.0  0.1  -6.4), Main_floor, 3.615997  3.593475
3/22/2024 11:29:22 AM,Room_121, 3.017312, (100.0  1.7  -8.0), (98.0  0.1  -6.5), Main_floor, 3.72374  3.633926
3/22/2024 11:29:22 AM,Room_121, 2.969065, (100.0  1.7  -8.0), (98.1  0.1  -6.6), Main_floor, 3.726608  3.590363
3/22/2024 11:29:22 AM,Room_121, 2.286282, (100.0  1.7  -8.0), (98.8  0.1  -7.2), Main_floor, 3.498322  3.623779
3/22/2024 11:29:22 AM,Room_121, 2.041738, (100.1  1.7  -8.0), (99.1  0.1  -7.4), Main_floor, 3.512848  3.555237
3/22/2024 11:29:23 AM,Room_121, 2.108798, (100.1  1.7  -8.0), (99.0  0.1  -7.3), Main_floor, 3.499435  3.456604
3/22/2024 11:29:23 AM,Room_121, 2.190572, (100.1  1.7  -8.1), (98.9  0.1  -7.2), Main_floor, 3.446518  3.481018
3/22/2024 11:29:23 AM,Room_121, 2.234347, (100.1  1.7  -8.1), (98.9  0.1  -7.2), Main_floor, 3.433624  3.42337
3/22/2024 11:29:23 AM,Room_121, 2.304156, (100.1  1.7  -8.1), (98.8  0.1  -7.1), Main_floor, 3.37178  3.32872
3/22/2024 11:29:23 AM,Room_121, 2.39589, (100.1  1.7  -8.1), (98.8  0.1  -7.0), Main_floor, 3.371765  3.341614
3/22/2024 11:29:23 AM,Room_121, 2.490371, (100.1  1.7  -8.1), (98.7  0.1  -6.9), Main_floor, 3.384735  3.378784
3/22/2024 11:29:23 AM,Room_121, 2.514431, (100.1  1.7  -8.1), (98.7  0.1  -6.9), Main_floor, 3.321472  3.393768
3/22/2024 11:29:23 AM,Room_121, 2.553376, (100.1  1.7  -8.1), (98.6  0.1  -6.9), Main_floor, 3.365097  3.347763
3/22/2024 11:29:23 AM,Room_121, 2.542228, (100.1  1.7  -8.1), (98.7  0.1  -6.9), Main_floor, 3.390274  3.294586
3/22/2024 11:29:23 AM,Room_121, 2.53803, (100.1  1.7  -8.1), (98.7  0.1  -6.9), Main_floor, 3.396317  3.289703
3/22/2024 11:29:23 AM,Room_121, 2.514419, (100.1  1.7  -8.1), (98.7  0.1  -6.9), Main_floor, 3.343994  3.266296
3/22/2024 11:29:23 AM,Room_121, 2.538348, (100.1  1.7  -8.1), (98.7  0.1  -6.9), Main_floor, 3.326752  3.238937
3/22/2024 11:29:23 AM,Room_121, 2.546609, (100.1  1.7  -8.1), (98.7  0.1  -6.9), Main_floor, 3.377045  3.290588
3/22/2024 11:29:23 AM,Room_121, 2.585846, (100.1  1.7  -8.1), (98.7  0.1  -6.8), Main_floor, 3.369949  3.333282
3/22/2024 11:29:23 AM,Room_121, 2.614085, (100.1  1.7  -8.1), (98.6  0.1  -6.8), Main_floor, 3.332016  3.261154
3/22/2024 11:29:23 AM,Room_121, 1.802104, (32.4  1.7  134.9), (31.3  0.6  135.8), w3, 3.243408  3.336426
3/22/2024 11:29:23 AM,Room_121, 1.794445, (32.4  1.7  134.9), (31.3  0.6  135.8), w3, 3.321381  3.245926
3/22/2024 11:29:23 AM,Room_121, 1.78135, (32.4  1.7  134.9), (31.3  0.6  135.8), w3, 3.378693  3.226212
3/22/2024 11:29:23 AM,Room_121, 1.83713, (32.4  1.7  134.9), (31.3  0.6  135.8), w3, 3.336716  3.219711
3/22/2024 11:29:23 AM,Room_121, 1.899398, (32.4  1.7  134.9), (31.2  0.5  135.8), w3, 3.247818  3.403122
3/22/2024 11:29:23 AM,Room_121, 1.902242, (32.4  1.7  134.9), (31.2  0.5  135.8), w3, 3.196548  3.306091
3/22/2024 11:29:23 AM,Room_121, 1.909428, (32.4  1.7  134.9), (31.2  0.6  135.8), w3, 3.26088  3.246964
3/22/2024 11:29:23 AM,Room_121, 1.931606, (32.4  1.7  134.9), (31.2  0.5  135.8), w3, 3.249741  3.348282
3/22/2024 11:29:23 AM,Room_121, 1.909446, (32.4  1.7  134.9), (31.2  0.6  135.8), w3, 3.26619  3.298904
3/22/2024 11:29:23 AM,Room_121, 2.08142, (32.4  1.7  134.9), (31.0  0.5  135.8), w3, 3.276535  3.22052
3/22/2024 11:29:23 AM,Room_121, 2.508529, (32.4  1.7  134.8), (30.5  0.4  135.8), w3, 3.359879  3.208099
3/22/2024 11:29:23 AM,Room_121, 2.951491, (32.4  1.7  134.8), (30.1  0.2  135.8), w3, 3.274033  3.289673
3/22/2024 11:29:23 AM,Room_121, 3.336134, (32.4  1.7  134.8), (29.6  0.1  135.3), Floor 1, 3.159576  3.39241
3/22/2024 11:29:23 AM,Room_121, 3.306587, (32.4  1.7  134.8), (29.6  0.1  135.0), Floor 1, 3.232071  3.367599
3/22/2024 11:29:23 AM,Room_121, 3.296531, (32.4  1.7  134.8), (29.6  0.1  135.0), Floor 1, 3.182327  3.273346
3/22/2024 11:29:23 AM,Room_121, 3.337231, (32.4  1.7  134.7), (29.5  0.1  134.9), Floor 1, 3.26297  3.334961
3/22/2024 11:29:23 AM,Room_121, 3.332037, (32.4  1.7  134.7), (29.6  0.1  134.9), Floor 1, 3.230484  3.422501
3/22/2024 11:29:23 AM,Room_121, 3.380347, (32.4  1.7  134.7), (29.5  0.1  134.8), Floor 1, 3.206741  3.3013
3/22/2024 11:29:23 AM,Room_121, 3.49037, (32.4  1.7  134.7), (29.4  0.1  134.8), Floor 1, 3.246872  3.287659
3/22/2024 11:29:23 AM,Room_121, 3.565982, (32.4  1.7  134.7), (29.3  0.1  134.8), Floor 1, 3.187363  3.230057
3/22/2024 11:29:23 AM,Room_121, 3.53762, (32.5  1.7  134.7), (29.3  0.1  134.7), Floor 1, 3.212265  3.058487
3/22/2024 11:29:23 AM,Room_121, 3.55119, (32.5  1.7  134.7), (29.3  0.1  134.7), Floor 1, 3.128677  3.194305
3/22/2024 11:29:24 AM,Room_121, 2.920785, (32.5  1.7  134.6), (31.4  0.1  132.4), Floor 1, 3.348663  3.379791
3/22/2024 11:29:24 AM,Room_121, 2.813819, (32.5  1.7  134.5), (31.9  0.1  132.4), Floor 1, 3.310913  3.729736
3/22/2024 11:29:24 AM,Room_121, 2.729213, (32.5  1.7  134.5), (32.4  0.1  132.4), Floor 1, 3.429916  -1
3/22/2024 11:29:24 AM,Room_121, 2.616167, (32.5  1.7  134.5), (32.6  0.1  132.5), Floor 1, 3.411682  -1
3/22/2024 11:29:24 AM,Room_121, 2.568583, (32.5  1.7  134.5), (32.5  0.1  132.5), Floor 1, 3.360855  3.369156
3/22/2024 11:29:24 AM,Room_121, 2.536615, (32.5  1.7  134.5), (32.4  0.1  132.6), Floor 1, 3.324432  3.434143
3/22/2024 11:29:24 AM,Room_121, 2.504515, (32.6  1.7  134.5), (32.4  0.1  132.6), Floor 1, 3.364365  3.414001
3/22/2024 11:29:24 AM,Room_121, 2.494721, (32.6  1.7  134.4), (32.4  0.1  132.6), Floor 1, 3.340439  3.33931
3/22/2024 11:29:24 AM,Room_121, 2.52801, (32.6  1.7  134.4), (32.4  0.1  132.5), Floor 1, 3.184814  3.299271
3/22/2024 11:29:24 AM,Room_121, 2.54701, (32.6  1.7  134.4), (32.4  0.1  132.5), Floor 1, 3.239868  3.257584
3/22/2024 11:29:24 AM,Room_121, 2.600571, (32.6  1.7  134.4), (32.4  0.1  132.4), Floor 1, 3.239929  3.232605
3/22/2024 11:29:24 AM,Room_121, 2.636845, (32.6  1.7  134.4), (32.3  0.1  132.4), Floor 1, 3.244217  3.279587
3/22/2024 11:29:24 AM,Room_121, 2.382777, (32.6  1.7  134.4), (32.6  0.1  132.7), Floor 1, 3.233063  3.330368
3/22/2024 11:29:24 AM,Room_121, 2.211961, (32.6  1.7  134.3), (32.7  0.1  132.9), Floor 1, 3.297363  3.316895
3/22/2024 11:29:24 AM,Room_121, 2.240349, (32.6  1.7  134.3), (32.6  0.1  132.8), Floor 1, 3.255371  3.232758
3/22/2024 11:29:24 AM,Room_121, 2.242118, (32.6  1.7  134.3), (32.6  0.1  132.8), Floor 1, 3.31456  3.234039
3/22/2024 11:29:24 AM,Room_121, 2.223907, (32.6  1.7  134.3), (32.5  0.1  132.8), Floor 1, 3.287064  3.132324
3/22/2024 11:29:24 AM,Room_121, 2.207702, (32.6  1.7  134.3), (32.5  0.1  132.8), Floor 1, 3.237106  3.238174
3/22/2024 11:29:24 AM,Room_121, 2.199381, (32.6  1.7  134.3), (32.4  0.1  132.8), Main_floor, 3.30806  3.188919
3/22/2024 11:29:24 AM,Room_121, 2.186409, (32.6  1.7  134.3), (32.4  0.1  132.9), Main_floor, 3.353302  3.271301
3/22/2024 11:29:24 AM,Room_121, 2.177955, (32.6  1.7  134.3), (32.3  0.1  132.9), Main_floor, 3.3526  3.241516
3/22/2024 11:29:24 AM,Room_121, 2.170905, (32.6  1.7  134.2), (32.3  0.1  132.8), Main_floor, 3.334396  3.289932
3/22/2024 11:29:24 AM,Room_121, 2.168717, (32.6  1.7  134.2), (32.3  0.1  132.8), Main_floor, 3.343445  3.324142
3/22/2024 11:29:24 AM,Room_121, 2.1692, (32.6  1.7  134.2), (32.3  0.1  132.8), Main_floor, 3.409637  3.322159
3/22/2024 11:29:24 AM,Room_121, 2.140579, (32.6  1.7  134.2), (32.3  0.1  132.8), Main_floor, 3.402832  3.330383
3/22/2024 11:29:24 AM,Room_121, 2.131833, (32.6  1.7  134.2), (32.2  0.1  132.8), Main_floor, 3.403549  3.256088
3/22/2024 11:29:24 AM,Room_121, 2.048386, (32.6  1.7  134.2), (32.1  0.1  133.0), Main_floor, 3.370392  3.206909
3/22/2024 11:29:24 AM,Room_121, 2.061271, (32.6  1.7  134.1), (32.0  0.1  133.0), Main_floor, 3.317184  3.310455
3/22/2024 11:29:24 AM,Room_121, 2.035082, (32.6  1.7  134.1), (32.0  0.1  133.0), Main_floor, 3.344879  3.188492
3/22/2024 11:29:24 AM,Room_121, 2.036871, (32.6  1.7  134.1), (32.0  0.1  133.0), Main_floor, 3.315582  3.175995
3/22/2024 11:29:24 AM,Room_121, 2.021523, (32.6  1.7  134.1), (32.0  0.1  133.0), Main_floor, 3.377365  3.212875
3/22/2024 11:29:24 AM,Room_121, 1.991757, (32.5  1.7  134.1), (32.1  0.1  133.0), Main_floor, 3.395844  3.300018
3/22/2024 11:29:24 AM,Room_121, 1.997328, (32.5  1.7  134.1), (32.0  0.1  133.0), Main_floor, 3.35762  3.224335
3/22/2024 11:29:24 AM,Room_121, 1.988872, (32.5  1.7  134.0), (32.1  0.1  133.0), Main_floor, 3.325653  3.216599
3/22/2024 11:29:24 AM,Room_121, 1.969224, (32.5  1.7  134.0), (32.1  0.1  133.0), Main_floor, 3.390366  3.22879
3/22/2024 11:29:24 AM,Room_121, 1.973016, (32.5  1.7  134.0), (32.1  0.1  133.0), Main_floor, 3.282288  3.282944
3/22/2024 11:29:25 AM,Room_121, 1.944876, (32.5  1.7  134.0), (32.1  0.1  133.0), Main_floor, 3.251907  3.345245
3/22/2024 11:29:25 AM,Room_121, 1.947351, (32.5  1.7  133.9), (32.1  0.1  133.0), Main_floor, 3.327881  3.364487
3/22/2024 11:29:25 AM,Room_121, 1.944995, (32.5  1.7  133.9), (32.0  0.1  133.0), Main_floor, 3.239243  3.330017
3/22/2024 11:29:25 AM,Room_121, 1.924446, (32.5  1.7  133.9), (32.0  0.1  133.0), Main_floor, 3.344574  3.359604
3/22/2024 11:29:25 AM,Room_121, 1.889536, (32.5  1.7  133.9), (32.1  0.1  133.0), Main_floor, 3.24173  3.387314
3/22/2024 11:29:25 AM,Room_121, 1.85568, (32.5  1.7  133.9), (32.1  0.1  133.1), Main_floor, 3.30394  3.37561
3/22/2024 11:29:25 AM,Room_121, 1.859485, (32.5  1.7  133.8), (32.1  0.1  133.0), Main_floor, 3.301559  3.400589
3/22/2024 11:29:25 AM,Room_121, 1.855266, (32.5  1.7  133.8), (32.1  0.1  133.0), Main_floor, 3.336456  3.297821
3/22/2024 11:29:25 AM,Room_121, 1.868718, (32.4  1.7  133.8), (32.1  0.1  133.0), Main_floor, 3.253204  3.370041
3/22/2024 11:29:25 AM,Room_121, 1.878418, (32.4  1.7  133.8), (32.0  0.1  132.9), Main_floor, 3.193176  3.233414
3/22/2024 11:29:25 AM,Room_121, 1.858123, (32.4  1.7  133.8), (32.0  0.1  133.0), Main_floor, 3.23735  3.345856
3/22/2024 11:29:25 AM,Room_121, 1.839237, (32.4  1.7  133.7), (32.1  0.1  133.0), Main_floor, 3.248199  3.304276
3/22/2024 11:29:25 AM,Room_121, 1.817091, (32.4  1.7  133.7), (32.1  0.1  133.0), Main_floor, 3.286102  3.2686
3/22/2024 11:29:25 AM,Room_121, 1.799431, (32.4  1.7  133.7), (32.0  0.1  133.0), Main_floor, 3.103287  3.306503
3/22/2024 11:29:25 AM,Room_121, 1.775021, (32.4  1.7  133.7), (32.1  0.1  133.0), Main_floor, 3.209915  3.354858
3/22/2024 11:29:25 AM,Room_121, 1.774418, (32.4  1.6  133.6), (32.0  0.1  133.0), Main_floor, 3.228607  3.324753
3/22/2024 11:29:25 AM,Room_121, 1.75387, (32.4  1.6  133.6), (32.1  0.1  133.0), Main_floor, 3.218185  3.367416
3/22/2024 11:29:25 AM,Room_121, 1.748742, (32.4  1.6  133.6), (32.1  0.1  133.0), Main_floor, 3.15155  3.301422
3/22/2024 11:29:25 AM,Room_121, 1.753356, (32.4  1.6  133.6), (32.0  0.1  133.0), Main_floor, 3.167603  3.200592
3/22/2024 11:29:25 AM,Room_121, 1.749375, (32.4  1.6  133.6), (32.0  0.1  133.0), Main_floor, 3.156433  3.365997
3/22/2024 11:29:25 AM,Room_121, 1.731866, (32.4  1.6  133.5), (32.0  0.1  133.0), Main_floor, 3.119293  3.252335
3/22/2024 11:29:25 AM,Room_121, 1.732072, (32.4  1.6  133.5), (32.0  0.1  133.0), Main_floor, 3.247269  3.278702
3/22/2024 11:29:25 AM,Room_121, 1.71353, (32.4  1.6  133.5), (32.1  0.1  133.0), Main_floor, 3.108841  3.283844
3/22/2024 11:29:25 AM,Room_121, 1.685945, (32.4  1.6  133.5), (32.0  0.1  133.1), Main_floor, 3.104797  3.387512
3/22/2024 11:29:25 AM,Room_121, 1.670915, (32.4  1.7  133.4), (32.1  0.1  133.1), Main_floor, 3.160751  3.360275
3/22/2024 11:29:25 AM,Room_121, 1.669182, (32.4  1.7  133.4), (32.1  0.1  133.1), Main_floor, 3.093033  3.202011
3/22/2024 11:29:25 AM,Room_121, 1.672627, (32.4  1.7  133.4), (32.0  0.1  133.1), Main_floor, 3.152039  3.284943
3/22/2024 11:29:25 AM,Room_121, 1.670063, (32.4  1.7  133.4), (32.0  0.1  133.1), Main_floor, 3.1138  3.317459
3/22/2024 11:29:25 AM,Room_121, 1.659526, (32.4  1.7  133.3), (32.0  0.1  133.1), Main_floor, 3.195343  3.207458
3/22/2024 11:29:25 AM,Room_121, 1.653538, (32.4  1.7  133.3), (32.1  0.1  133.1), Main_floor, 3.189346  3.300186
3/22/2024 11:29:25 AM,Room_121, 1.648775, (32.4  1.7  133.3), (32.1  0.1  133.1), Main_floor, 3.188705  3.319748
3/22/2024 11:29:25 AM,Room_121, 1.649609, (32.4  1.6  133.3), (32.0  0.1  133.1), Main_floor, 3.142349  3.323257
3/22/2024 11:29:25 AM,Room_121, 1.641634, (32.3  1.6  133.3), (32.0  0.1  133.1), Main_floor, 3.142502  3.224197
3/22/2024 11:29:25 AM,Room_121, 1.636633, (32.3  1.6  133.3), (32.0  0.1  133.1), Main_floor, 3.133621  3.263214
3/22/2024 11:29:25 AM,Room_121, 1.636152, (32.3  1.6  133.3), (32.0  0.1  133.0), Main_floor, 3.071274  3.292801
3/22/2024 11:29:25 AM,Room_121, 1.629469, (32.3  1.6  133.2), (32.0  0.1  133.0), Main_floor, 3.075623  3.283875
3/22/2024 11:29:25 AM,Room_121, 1.629606, (32.3  1.6  133.2), (32.0  0.1  133.0), Main_floor, 3.11145  3.245346
3/22/2024 11:29:26 AM,Room_121, 1.630306, (32.3  1.6  133.2), (32.0  0.1  133.0), Main_floor, 3.0112  3.268478
3/22/2024 11:29:26 AM,Room_121, 1.627415, (32.3  1.6  133.2), (31.9  0.1  133.0), Main_floor, 3.106979  3.225494
3/22/2024 11:29:26 AM,Room_121, 1.615854, (32.3  1.6  133.2), (32.0  0.1  133.0), Main_floor, 3.110901  3.253647
3/22/2024 11:29:26 AM,Room_121, 1.604783, (32.3  1.6  133.2), (32.1  0.1  133.1), Main_floor, 3.08078  3.290771
3/22/2024 11:29:26 AM,Room_121, 1.605997, (32.2  1.6  133.2), (32.1  0.1  133.1), Main_floor, 2.968323  3.325607
3/22/2024 11:29:26 AM,Room_121, 1.602688, (32.2  1.6  133.2), (32.1  0.1  133.1), Main_floor, 2.998398  3.206223
3/22/2024 11:29:26 AM,Room_121, 1.614297, (32.2  1.6  133.2), (32.0  0.1  133.1), Main_floor, 3.03418  3.160294
3/22/2024 11:29:26 AM,Room_121, 1.634462, (32.2  1.6  133.2), (31.9  0.1  133.1), Floor 1, 2.977509  3.051056
3/22/2024 11:29:26 AM,Room_121, 1.618747, (32.2  1.6  133.2), (32.0  0.1  133.1), Floor 1, 2.642212  3.11586
3/22/2024 11:29:26 AM,Room_121, 1.615925, (32.2  1.6  133.2), (32.0  0.1  133.0), Main_floor, 2.851456  3.146362
3/22/2024 11:29:26 AM,Room_121, 1.607192, (32.2  1.6  133.2), (32.0  0.1  133.1), Main_floor, 2.852524  3.154099
3/22/2024 11:29:26 AM,Room_121, 1.616513, (32.2  1.6  133.2), (32.0  0.1  133.1), Main_floor, 3.127884  3.218262
3/22/2024 11:29:26 AM,Room_121, 1.607394, (32.2  1.7  133.2), (32.1  0.1  133.1), Main_floor, 2.925262  3.155304
3/22/2024 11:29:26 AM,Room_121, 1.606314, (32.2  1.6  133.1), (32.1  0.1  133.0), Main_floor, 2.873535  3.222336
3/22/2024 11:29:26 AM,Room_121, 1.612107, (32.2  1.7  133.1), (32.0  0.1  133.0), Main_floor, 2.909515  3.18161
3/22/2024 11:29:26 AM,Room_121, 1.619253, (32.2  1.6  133.1), (32.2  0.1  132.8), Main_floor, -1  2.923889
3/22/2024 11:29:26 AM,Room_121, 1.646307, (32.2  1.6  133.1), (31.8  0.1  132.9), Floor 1, -1  2.813248
3/22/2024 11:29:26 AM,Room_121, 1.617622, (32.2  1.6  133.1), (32.0  0.1  132.9), Main_floor, -1  3.018814
3/22/2024 11:29:26 AM,Room_121, 1.614507, (32.2  1.6  133.1), (32.0  0.1  132.9), Main_floor, -1  3.159683
3/22/2024 11:29:26 AM,Room_121, 1.609485, (32.2  1.6  133.1), (32.0  0.1  133.0), Floor 1, 3.058594  3.096405
3/22/2024 11:29:26 AM,Room_121, 1.609789, (32.2  1.6  133.1), (31.9  0.1  133.1), Floor 1, 3.051544  3.115845
3/22/2024 11:29:26 AM,Room_121, 1.606637, (32.2  1.6  133.1), (32.0  0.1  133.1), Floor 1, 3.007797  3.185867
3/22/2024 11:29:26 AM,Room_121, 1.607732, (32.2  1.6  133.1), (31.9  0.1  133.1), Floor 1, 3.110443  3.153351
3/22/2024 11:29:26 AM,Room_121, 1.611653, (32.2  1.6  133.1), (31.9  0.1  133.1), Floor 1, 3.212204  3.122009
3/22/2024 11:29:26 AM,Room_121, 1.612441, (32.2  1.6  133.1), (31.9  0.1  133.1), Floor 1, 3.086319  3.086884
3/22/2024 11:29:26 AM,Room_121, 1.611595, (32.2  1.6  133.1), (31.9  0.1  133.1), Floor 1, 2.846497  3.18718
3/22/2024 11:29:26 AM,Room_121, 1.617981, (32.2  1.6  133.1), (31.9  0.1  133.1), Floor 1, 3.249771  3.220932
3/22/2024 11:29:26 AM,Room_121, 1.617149, (32.2  1.6  133.1), (31.9  0.1  133.1), Floor 1, 3.168488  3.103027
3/22/2024 11:29:26 AM,Room_121, 1.612749, (32.2  1.6  133.1), (31.9  0.1  133.1), Floor 1, 3.103043  3.074692
3/22/2024 11:29:26 AM,Room_121, 1.613837, (32.2  1.6  133.1), (31.9  0.1  133.1), Floor 1, 3.267059  3.039688
3/22/2024 11:29:26 AM,Room_121, 1.618756, (32.2  1.6  133.1), (31.9  0.1  133.1), Floor 1, 3.304169  3.180954
3/22/2024 11:29:26 AM,Room_121, 1.627964, (32.2  1.6  133.1), (31.9  0.1  133.2), Floor 1, 3.261887  3.214066
3/22/2024 11:29:26 AM,Room_121, 1.631596, (32.2  1.6  133.1), (31.8  0.1  133.2), Floor 1, 3.311386  3.055908
3/22/2024 11:29:26 AM,Room_121, 1.624236, (32.2  1.6  133.1), (31.9  0.1  133.1), Floor 1, 3.268799  3.185074
3/22/2024 11:29:26 AM,Room_121, 1.62069, (32.2  1.6  133.1), (31.9  0.1  133.1), Floor 1, 3.244385  3.211884
3/22/2024 11:29:26 AM,Room_121, 1.620063, (32.2  1.6  133.1), (31.9  0.1  133.1), Floor 1, 3.266434  3.156693
3/22/2024 11:29:26 AM,Room_121, 1.621085, (32.2  1.6  133.1), (31.9  0.1  133.1), Floor 1, 3.265182  3.131668
3/22/2024 11:29:26 AM,Room_121, 1.622964, (32.2  1.6  133.1), (31.8  0.1  133.1), Floor 1, 3.290329  3.13913
3/22/2024 11:29:26 AM,Room_121, 1.626038, (32.2  1.6  133.1), (31.8  0.1  133.1), Floor 1, 3.320923  3.158875
3/22/2024 11:29:26 AM,Room_121, 1.662412, (32.2  1.6  133.1), (31.7  0.1  133.1), Floor 1, 3.345123  3.212524
3/22/2024 11:29:27 AM,Room_121, 1.750243, (32.2  1.6  133.1), (31.4  0.1  133.2), Floor 1, 3.158356  3.151001
3/22/2024 11:29:27 AM,Room_121, 1.769083, (32.2  1.6  133.1), (31.4  0.1  133.2), Floor 1, 3.346893  3.116135
3/22/2024 11:29:27 AM,Room_121, 1.75329, (32.2  1.6  133.1), (31.5  0.1  133.2), Floor 1, 3.303085  3.135925
3/22/2024 11:29:27 AM,Room_121, 1.769497, (32.2  1.6  133.1), (31.4  0.1  133.2), Floor 1, 3.471588  3.148254
3/22/2024 11:29:27 AM,Room_121, 1.753522, (32.2  1.7  133.1), (31.5  0.1  133.2), Floor 1, 3.32843  3.089767
3/22/2024 11:29:27 AM,Room_121, 1.767093, (32.2  1.7  133.1), (31.4  0.1  133.2), Floor 1, 3.366684  3.005981
3/22/2024 11:29:27 AM,Room_121, 1.769374, (32.2  1.7  133.1), (31.4  0.1  133.2), Floor 1, 3.33812  3.125656
3/22/2024 11:29:27 AM,Room_121, 1.774517, (32.2  1.7  133.0), (31.4  0.1  133.2), Floor 1, 3.397842  3.096634
3/22/2024 11:29:27 AM,Room_121, 1.790587, (32.2  1.7  133.0), (31.4  0.1  133.1), Floor 1, 3.274353  3.119476
3/22/2024 11:29:27 AM,Room_121, 2.113754, (32.2  1.7  133.0), (30.8  0.1  133.2), Floor 1, 3.256287  3.092041
3/22/2024 11:29:27 AM,Room_121, 2.118256, (32.2  1.7  133.1), (30.8  0.1  133.4), Floor 1, 3.369537  3.108704
3/22/2024 11:29:27 AM,Room_121, 2.099667, (32.2  1.7  133.1), (30.9  0.1  133.3), Floor 1, 3.329361  3.051178
3/22/2024 11:29:27 AM,Room_121, 2.035536, (32.2  1.7  133.1), (31.0  0.1  133.2), Floor 1, 3.095932  3.045242
3/22/2024 11:29:27 AM,Room_121, 2.067391, (32.2  1.7  133.1), (30.9  0.1  133.1), Floor 1, 3.081909  3.043365
3/22/2024 11:29:27 AM,Room_121, 2.053498, (32.2  1.7  133.0), (30.9  0.1  133.2), Floor 1, 3.214355  2.925446
3/22/2024 11:29:27 AM,Room_121, 2.076301, (32.2  1.7  133.1), (30.9  0.1  133.2), Floor 1, 3.145416  2.898071
3/22/2024 11:29:27 AM,Room_121, 2.219222, (32.2  1.7  133.1), (30.7  0.1  133.3), Floor 1, 3.177475  2.943329
3/22/2024 11:29:27 AM,Room_121, 2.054668, (32.2  1.7  133.1), (31.0  0.1  133.3), Floor 1, 3.044495  2.90947
3/22/2024 11:29:27 AM,Room_121, 2.045522, (32.2  1.7  133.1), (31.0  0.1  133.3), Floor 1, 3.060837  2.836182
3/22/2024 11:29:27 AM,Room_121, 2.074761, (32.2  1.7  133.1), (30.9  0.1  133.3), Floor 1, 3.013153  2.89325
3/22/2024 11:29:27 AM,Room_121, 2.032373, (32.2  1.7  133.1), (31.0  0.1  133.3), Floor 1, 2.999695  2.856323
3/22/2024 11:29:27 AM,Room_121, 2.017841, (32.2  1.7  133.1), (31.0  0.1  133.3), Floor 1, 3.034439  2.807541
3/22/2024 11:29:27 AM,Room_121, 2.044983, (32.2  1.7  133.1), (31.0  0.1  133.3), Floor 1, 3.123566  2.82515
3/22/2024 11:29:27 AM,Room_121, 2.144618, (32.2  1.7  133.0), (30.8  0.1  133.2), Floor 1, 3.041855  2.793503
3/22/2024 11:29:27 AM,Room_121, 2.066414, (32.2  1.7  133.0), (30.9  0.1  133.1), Floor 1, 3.173996  2.799576
3/22/2024 11:29:27 AM,Room_121, 3.003267, (32.2  1.7  133.0), (29.7  0.1  133.1), Floor 1, 2.878235  2.87793
3/22/2024 11:29:27 AM,Room_121, 2.924536, (32.2  1.7  133.0), (29.8  0.1  133.0), Floor 1, 2.66362  2.771698
3/22/2024 11:29:27 AM,Room_121, 2.92775, (32.2  1.7  133.0), (29.8  0.1  133.0), Floor 1, 2.66629  2.880478
3/22/2024 11:29:27 AM,Room_121, 2.919376, (32.2  1.7  133.0), (29.8  0.1  133.0), Floor 1, 3.100159  2.76001
3/22/2024 11:29:27 AM,Room_121, 2.903394, (32.2  1.7  133.0), (29.8  0.1  133.0), Floor 1, 3.167053  2.796463
3/22/2024 11:29:27 AM,Room_121, 2.911748, (32.2  1.7  133.1), (29.8  0.1  133.2), Floor 1, 3.110489  2.858215
